a1,0
b1,0.3278
c1,2
a2,0.962
b2,-2.2518
c2,3.0493
a3,-0.9136
b3,2.155
c3,0.5181
a4,0.2796
b4,-0.887
c4,2.3964



0,2
0.01,2.00328
0.02,2.00656
0.03,2.00983
0.04,2.01311
0.05,2.01639
0.06,2.01967
0.07,2.02295
0.08,2.02622
0.09,2.0295
0.1,2.03278
0.11,2.03606
0.12,2.03934
0.13,2.04261
0.14,2.04589
0.15,2.04917
0.16,2.05245
0.17,2.05573
0.18,2.059
0.19,2.06228
0.2,2.06556
0.21,2.06884
0.22,2.07212
0.23,2.07539
0.24,2.07867
0.25,2.08195
0.26,2.08523
0.27,2.08851
0.28,2.09178
0.29,2.09506
0.3,2.09834
0.31,2.10162
0.32,2.1049
0.33,2.10817
0.34,2.11145
0.35,2.11473
0.36,2.11801
0.37,2.12129
0.38,2.12456
0.39,2.12784
0.4,2.13112
0.41,2.1344
0.42,2.13768
0.43,2.14095
0.44,2.14423
0.45,2.14751
0.46,2.15079
0.47,2.15407
0.48,2.15734
0.49,2.16062
0.5,2.1639
0.51,2.1511
0.52,2.13849
0.53,2.12607
0.54,2.11385
0.55,2.10181
0.56,2.08998
0.57,2.07833
0.58,2.06687
0.59,2.05561
0.6,2.04454
0.61,2.03366
0.62,2.02298
0.63,2.01248
0.64,2.00218
0.65,1.99207
0.66,1.98216
0.67,1.97244
0.68,1.9629
0.69,1.95357
0.7,1.94442
0.71,1.93547
0.72,1.9267
0.73,1.91814
0.74,1.90976
0.75,1.90157
0.76,1.89358
0.77,1.88578
0.78,1.87818
0.79,1.87076
0.8,1.86354
0.81,1.85651
0.82,1.84967
0.83,1.84303
0.84,1.83658
0.85,1.83031
0.86,1.82425
0.87,1.81837
0.88,1.81269
0.89,1.8072
0.9,1.8019
0.91,1.79679
0.92,1.79188
0.93,1.78716
0.94,1.78263
0.95,1.77829
0.96,1.77415
0.97,1.7702
0.98,1.76644
0.99,1.76287
1,1.7595
1.01,1.76269
1.02,1.76569
1.03,1.76851
1.04,1.77115
1.05,1.77361
1.06,1.77588
1.07,1.77797
1.08,1.77988
1.09,1.7816
1.1,1.78314
1.11,1.7845
1.12,1.78568
1.13,1.78667
1.14,1.78749
1.15,1.78811
1.16,1.78856
1.17,1.78882
1.18,1.7889
1.19,1.7888
1.2,1.78852
1.21,1.78805
1.22,1.7874
1.23,1.78656
1.24,1.78555
1.25,1.78435
1.26,1.78297
1.27,1.7814
1.28,1.77966
1.29,1.77773
1.3,1.77562
1.31,1.77332
1.32,1.77084
1.33,1.76818
1.34,1.76534
1.35,1.76231
1.36,1.75911
1.37,1.75571
1.38,1.75214
1.39,1.74838
1.4,1.74444
1.41,1.74032
1.42,1.73602
1.43,1.73153
1.44,1.72686
1.45,1.72201
1.46,1.71697
1.47,1.71175
1.48,1.70635
1.49,1.70077
1.5,1.695
1.51,1.69455
1.52,1.69415
1.53,1.69381
1.54,1.69352
1.55,1.69329
1.56,1.69311
1.57,1.693
1.58,1.69293
1.59,1.69293
1.6,1.69298
1.61,1.69308
1.62,1.69324
1.63,1.69346
1.64,1.69373
1.65,1.69406
1.66,1.69445
1.67,1.69489
1.68,1.69538
1.69,1.69594
1.7,1.69654
1.71,1.69721
1.72,1.69793
1.73,1.6987
1.74,1.69954
1.75,1.70043
1.76,1.70137
1.77,1.70237
1.78,1.70342
1.79,1.70454
1.8,1.7057
1.81,1.70693
1.82,1.70821
1.83,1.70954
1.84,1.71093
1.85,1.71238
1.86,1.71388
1.87,1.71544
1.88,1.71706
1.89,1.71873
1.9,1.72046
1.91,1.72224
1.92,1.72408
1.93,1.72597
1.94,1.72792
1.95,1.72993
1.96,1.73199
1.97,1.73411
1.98,1.73628
1.99,1.73851
